TRANSMISSION_LINE,trans_lz1,trans_lz2,trans_length_km,trans_efficiency,existing_trans_cap
l91621,2021343,2021484,9.18,0.94,211.41
l91622,2021345,2021346,0.0,0.94,0.0
l91623,2021346,2021357,1.52,0.94,196.36
l91624,2021346,2021378,2.74,0.94,185.52
l91625,2021347,2021348,0.0,0.94,0.0
l91626,2021347,2021349,0.0,0.94,0.0
l91627,2021347,2021350,0.0,0.94,0.0
l91628,2021349,2021370,6.63,0.94,237.16
l91629,2021351,2021353,3.68,0.94,221.57
l91630,2021383,2021351,3.15,0.94,263.57
l91631,2021352,2021353,0.0,0.94,0.0
l91632,2021354,2021729,7.19,0.94,260.17
l91633,2021355,2021356,0.0,0.94,0.0
l91634,2021355,2021424,2.95,0.94,171.99
l91635,2021355,2021628,5.98,0.94,224.2
l91636,2021357,2021358,0.0,0.94,0.0
l91637,2021357,2021402,13.08,0.94,183.13
l91638,2021359,2021361,4.98,0.94,226.69
l91639,2021359,2021417,4.72,0.94,179.68
l91640,2021360,2021361,0.0,0.94,0.0
l91641,2021362,2021363,0.0,0.94,0.0
l91642,2021363,2021491,4.62,0.94,190.78
l91643,2021364,2021442,2.14,0.94,209.17
l91644,2021364,2021466,5.91,0.94,185.81
l91645,2021365,2021366,0.0,0.94,0.0
l91646,2021365,2021367,2.68,0.94,183.71
l91647,2021386,2021365,4.22,0.94,202.35
l91648,2021674,2021367,3.28,0.94,219.85
l91649,2021368,2021499,2.26,0.94,223.01
l91650,2021368,2021699,16.89,0.94,239.29
l91651,2021369,2021370,0.0,0.94,0.0
l91652,2021370,2021643,15.73,0.94,258.87
l91653,2021420,2021371,2.35,0.94,173.88
l91654,2021372,2021392,3.67,0.94,225.78
l91655,2021372,2021470,1.51,0.94,220.73
l91656,2021372,2021555,16.36,0.94,214.36
l91657,2021374,2021373,0.0,0.99,466.81
l91658,2021474,2021373,10.02,0.98,1169.1
l91659,2021374,2021379,19.79,0.94,275.42
l91660,2021418,2021374,7.7,0.94,258.63
l91661,2021374,2021472,2.83,0.94,242.14
l91662,2021374,2021520,9.15,0.94,220.86
l91663,2021375,2021472,6.29,0.94,169.32
l91664,2021375,2021521,3.01,0.94,237.9
l91665,2021376,2021377,0.0,0.94,0.0
l91666,2021376,2021378,0.0,0.94,0.0
l91667,2021430,2021378,1.23,0.94,180.81
l91668,2021477,2021379,6.08,0.94,255.41
l91669,2021380,2021381,0.0,0.94,0.0
l91670,2021413,2021380,4.35,0.94,218.77
l91671,2021498,2021380,14.08,0.94,188.54
l91672,2021383,2021382,0.0,0.99,449.27
l91673,2021382,2021384,0.0,0.98,0.0
l91674,2021382,2021474,22.57,0.98,1200.95
l91675,2021382,2021642,23.38,0.98,1328.23
l91676,2021382,2021649,24.06,0.98,1457.69
l91677,2021383,2021432,16.13,0.94,281.13
l91678,2021386,2021385,0.0,0.99,450.77
l91679,2021385,2021387,0.0,0.98,0.0
l91680,2021388,2021385,17.49,0.98,1110.82
l91681,2021462,2021386,5.61,0.94,229.32
l91682,2021389,2021388,0.0,0.99,448.1
l91683,2021657,2021388,16.13,0.98,1155.89
l91684,2021450,2021389,3.07,0.94,240.78
l91685,2021389,2021465,4.49,0.94,235.09
l91686,2021390,2021424,3.8,0.94,211.9
l91687,2021390,2021492,4.3,0.94,220.6
l91688,2021628,2021390,2.33,0.94,250.87
l91689,2021390,2021758,1.09,0.94,205.5
l91690,2021391,2021479,0.64,0.94,238.32
l91691,2021391,2021628,7.11,0.94,258.81
l91692,2021392,2021393,0.0,0.94,0.0
l91693,2021392,2021394,4.64,0.94,226.1
l91694,2021396,2021392,4.9,0.94,254.13
l91695,2021394,2021395,0.0,0.94,0.0
l91696,2021396,2021481,27.93,0.94,236.71
l91697,2021396,2021573,26.3,0.94,229.78
l91698,2021399,2021397,18.37,0.94,236.1
l91699,2023000,2021397,39.36,0.94,217.76
l91700,2021399,2021398,0.0,0.99,475.45
l91701,2021398,2021400,0.0,0.98,0.0
l91702,2021398,2023016,31.17,0.98,1045.39
l91703,2023375,2021398,14.99,0.98,1252.16
l91704,2021399,2021437,4.96,0.94,270.6
l91705,2021401,2021402,0.0,0.94,0.0
l91706,2021401,2021403,0.0,0.94,0.0
l91707,2021404,2021434,14.3,0.94,207.46
l91708,2021405,2021408,0.0,0.99,519.6
l91709,2021629,2021405,8.67,0.98,1124.55
l91710,2021406,2021408,0.0,0.99,494.6
l91711,2021429,2021406,3.23,0.94,253.57
l91712,2021438,2021406,2.57,0.94,207.18
l91713,2021407,2021408,0.0,0.99,25.0
l91714,2021409,2021412,0.0,0.99,481.4
l91715,2021458,2021409,13.65,0.98,1160.39
l91716,2021409,2021629,11.51,0.98,1158.16
l91717,2021410,2021412,0.0,0.99,456.4
l91718,2021411,2021412,0.0,0.99,25.0
l91719,2021413,2021414,0.0,0.94,0.0
l91720,2021413,2021454,5.43,0.94,228.8
l91721,2021415,2021436,5.55,0.94,179.77
l91722,2021415,2021497,11.8,0.94,208.86
l91723,2021416,2021417,0.0,0.94,0.0
l91724,2021417,2021729,15.85,0.94,237.51
l91725,2021418,2021504,9.11,0.94,220.71
l91726,2021419,2021475,0.58,0.94,291.81
l91727,2021521,2021419,2.46,0.94,274.61
l91728,2021420,2021421,0.0,0.94,0.0
l91729,2021422,2021423,0.0,0.94,0.0
l91730,2021422,2021424,0.0,0.94,0.0
l91731,2021422,2021425,0.0,0.94,0.0
l91732,2021424,2021468,1.45,0.94,187.88
l91733,2021426,2021427,0.0,0.94,0.0
l91734,2021426,2021428,0.0,0.94,0.0
l91735,2021428,2021466,4.24,0.94,217.82
l91736,2021428,2021734,1.44,0.94,254.92
l91737,2021429,2021439,3.02,0.94,185.53
l91738,2021479,2021430,3.99,0.94,214.25
l91739,2021431,2021444,1.77,0.94,203.0
l91740,2021431,2021494,0.97,0.94,176.89
l91741,2021432,2021433,3.98,0.94,229.53
l91742,2021432,2021608,9.72,0.94,270.97
l91743,2021480,2021433,5.93,0.94,254.91
l91744,2021434,2021435,0.0,0.94,0.0
l91745,2021451,2021436,6.84,0.94,230.3
l91746,2021457,2021436,2.21,0.94,206.15
l91747,2021437,2021498,12.72,0.94,208.29
l91748,2021437,2023008,12.51,0.94,222.92
l91749,2021437,2023010,8.92,0.94,204.07
l91750,2021437,2023012,62.38,0.94,192.25
l91751,2021439,2021440,0.0,0.94,0.0
l91752,2021439,2021734,3.86,0.94,202.45
l91753,2021441,2021442,0.0,0.94,0.0
l91754,2021441,2021443,0.0,0.94,0.0
l91755,2021529,2021442,1.11,0.94,218.68
l91756,2021734,2021442,0.9,0.94,256.4
l91757,2021444,2021445,0.0,0.94,0.0
l91758,2021519,2021444,5.28,0.94,150.63
l91759,2021444,2021686,9.11,0.94,228.8
l91760,2021446,2021447,0.0,0.94,0.0
l91761,2021517,2021446,7.1,0.94,188.37
l91762,2023009,2021446,17.96,0.94,178.03
l91763,2021656,2021448,4.2,0.94,251.94
l91764,2021448,2021759,6.16,0.94,238.46
l91765,2021449,2021450,0.0,0.94,0.0
l91766,2021450,2021656,16.58,0.94,256.94
l91767,2021451,2021459,2.08,0.94,244.32
l91768,2021452,2021453,0.0,0.94,0.0
l91769,2021452,2021454,0.0,0.94,0.0
l91770,2021454,2021459,1.71,0.94,222.54
l91771,2021455,2021456,0.0,0.94,0.0
l91772,2021455,2021457,0.0,0.94,0.0
l91773,2021457,2021494,4.91,0.94,214.37
l91774,2021457,2021532,3.45,0.94,227.02
l91775,2021458,2021461,0.0,0.99,580.2
l91776,2021459,2021461,0.0,0.99,455.2
l91777,2021460,2021461,0.0,0.99,125.0
l91778,2021465,2021462,8.12,0.94,171.51
l91779,2021463,2021464,0.0,0.94,0.0
l91780,2021463,2021465,0.0,0.94,0.0
l91781,2021466,2021467,0.0,0.94,0.0
l91782,2021758,2021468,3.07,0.94,219.26
l91783,2021471,2021469,4.5,0.94,223.49
l91784,2021475,2021469,3.35,0.94,245.97
l91785,2021499,2021470,4.67,0.94,241.48
l91786,2021520,2021471,9.03,0.94,243.4
l91787,2021471,2021743,20.43,0.94,259.75
l91788,2021472,2021473,0.0,0.94,0.0
l91789,2021472,2021475,10.8,0.94,265.17
l91790,2021475,2021474,0.0,0.99,577.25
l91791,2021475,2021474,0.0,0.99,577.25
l91792,2021474,2021626,35.92,0.98,1314.79
l91793,2021742,2021474,20.33,0.98,1222.23
l91794,2021476,2021501,2.89,0.94,187.05
l91795,2021476,2021504,6.53,0.94,212.84
l91796,2021477,2021478,0.0,0.94,0.0
l91797,2021477,2021504,2.41,0.94,228.48
l91798,2021650,2021480,0.52,0.94,279.36
l91799,2021482,2021483,0.0,0.94,0.0
l91800,2021482,2021716,7.87,0.94,225.68
l91801,2021721,2021484,4.66,0.94,230.55
l91802,2021485,2021488,0.0,0.99,103.9
l91803,2021485,2021489,0.0,0.94,0.0
l91804,2021485,2021516,6.81,0.94,229.33
l91805,2021485,2021529,1.26,0.94,260.75
l91806,2021485,2021551,14.06,0.94,208.34
l91807,2021486,2021488,0.0,0.99,51.9
l91808,2021487,2021488,0.0,0.99,51.9
l91809,2021490,2021491,0.0,0.94,0.0
l91810,2021497,2021491,4.46,0.94,234.85
l91811,2021492,2021546,13.02,0.94,226.11
l91812,2021492,2021721,3.24,0.94,232.3
l91813,2021495,2021493,1.53,0.94,211.02
l91814,2021493,2021497,1.66,0.94,248.47
l91815,2021533,2021495,1.08,0.94,199.63
l91816,2021497,2021496,0.0,0.99,571.48
l91817,2021496,2021527,6.18,0.98,1261.31
l91818,2021496,2021685,16.12,0.98,1073.89
l91819,2021497,2021533,3.58,0.94,264.14
l91820,2021500,2021501,0.0,0.94,0.0
l91821,2021500,2021502,0.0,0.94,0.0
l91822,2021559,2021501,23.47,0.94,243.58
l91823,2021562,2021501,7.57,0.94,185.85
l91824,2021503,2021504,0.0,0.94,0.0
l91825,2021503,2021505,0.0,0.94,0.0
l91826,2021506,2021509,0.0,0.99,103.2
l91827,2021513,2021506,1.46,0.94,167.79
l91828,2021561,2021506,8.44,0.94,223.76
l91829,2021562,2021506,5.4,0.94,193.17
l91830,2021506,2021582,29.3,0.94,245.53
l91831,2021507,2021509,0.0,0.99,51.6
l91832,2021508,2021509,0.0,0.99,51.6
l91833,2021510,2021511,0.0,0.94,0.0
l91834,2021559,2021510,9.33,0.94,265.05
l91835,2021510,2021616,18.35,0.94,279.03
l91836,2021512,2021513,0.0,0.94,0.0
l91837,2021550,2021513,7.02,0.94,223.03
l91838,2021514,2021515,0.0,0.94,0.0
l91839,2021514,2021516,0.0,0.94,0.0
l91840,2021516,2021562,3.27,0.94,183.49
l91841,2021519,2021517,6.23,0.94,216.58
l91842,2021517,2021532,0.72,0.94,250.93
l91843,2021518,2021519,0.0,0.94,0.0
l91844,2021521,2021522,0.0,0.94,0.0
l91845,2021523,2021524,0.0,0.94,0.0
l91846,2021525,2021523,0.95,0.94,204.25
l91847,2021523,2021533,3.96,0.94,185.01
l91848,2021525,2021526,0.0,0.94,0.0
l91849,2021525,2021630,4.81,0.94,186.48
l91850,2021525,2021686,9.55,0.94,225.46
l91851,2021528,2021527,0.0,0.99,508.15
l91852,2021527,2021700,48.17,0.98,1224.22
l91853,2021527,2023432,88.08,0.98,1243.7
l91854,2021528,2021542,13.94,0.94,236.96
l91855,2021528,2021544,1.6,0.94,251.51
l91856,2021528,2021547,12.26,0.94,212.93
l91857,2021529,2021734,1.97,0.94,268.5
l91858,2021686,2021530,5.23,0.94,233.72
l91859,2023009,2021530,16.53,0.94,175.45
l91860,2021532,2021531,0.0,0.99,480.33
l91861,2021685,2021531,15.25,0.98,1183.67
l91862,2021533,2021563,5.1,0.94,214.27
l91863,2021534,2021535,0.0,0.94,0.0
l91864,2021535,2021579,7.89,0.94,187.45
l91865,2021630,2021535,2.25,0.94,241.64
l91866,2021536,2021537,0.0,0.94,0.0
l91867,2021536,2021538,0.0,0.94,0.0
l91868,2021555,2021538,10.0,0.94,239.78
l91869,2021538,2021571,3.2,0.94,258.45
l91870,2021675,2021538,4.66,0.94,204.21
l91871,2021675,2021539,8.89,0.94,203.26
l91872,2021540,2021541,0.0,0.94,0.0
l91873,2021542,2021540,1.34,0.94,209.85
l91874,2021551,2021540,1.81,0.94,171.94
l91875,2021542,2021543,0.0,0.94,0.0
l91876,2021544,2021545,0.0,0.94,0.0
l91877,2021544,2021546,10.09,0.94,214.18
l91878,2021563,2021546,1.98,0.94,207.39
l91879,2021551,2021547,1.79,0.94,191.12
l91880,2021548,2021549,0.0,0.94,0.0
l91881,2021548,2021550,0.0,0.94,0.0
l91882,2021550,2023076,59.13,0.94,250.1
l91883,2021551,2021552,0.0,0.94,0.0
l91884,2021553,2021554,0.0,0.94,0.0
l91885,2021553,2021555,0.0,0.94,0.0
l91886,2021553,2021556,0.0,0.94,0.0
l91887,2021564,2021557,10.2,0.94,242.14
l91888,2021622,2021557,4.4,0.94,262.71
l91889,2021558,2021569,23.01,0.94,209.54
l91890,2021560,2021574,3.41,0.94,193.63
l91891,2021743,2021560,5.07,0.94,226.32
l91892,2021568,2021561,4.23,0.94,182.27
l91893,2021568,2021563,1.61,0.94,207.06
l91894,2021564,2023022,7.2,0.94,220.8
l91895,2021565,2021566,0.0,0.94,0.0
l91896,2021573,2021565,7.56,0.94,242.37
l91897,2021565,2021622,9.68,0.94,248.63
l91898,2021567,2021568,0.0,0.94,0.0
l91899,2021571,2021572,0.0,0.94,0.0
l91900,2021622,2021571,4.29,0.94,282.68
l91901,2021580,2021573,2.11,0.94,207.71
l91902,2021574,2021582,30.99,0.94,293.79
l91903,2021661,2021574,3.0,0.94,297.47
l91904,2021575,2021576,0.0,0.94,0.0
l91905,2021576,2021640,9.87,0.94,234.77
l91906,2023009,2021576,4.53,0.94,230.94
l91907,2021577,2021578,0.0,0.94,0.0
l91908,2021579,2021577,10.54,0.94,208.19
l91909,2021577,2021582,34.92,0.94,240.11
l91910,2021580,2021601,27.85,0.94,227.06
l91911,2021581,2021585,22.22,0.94,228.33
l91912,2021581,2023061,24.97,0.94,192.54
l91913,2021581,2023103,48.77,0.94,177.11
l91914,2021582,2023076,38.28,0.94,214.07
l91915,2021583,2021745,10.09,0.94,222.86
l91916,2021583,2023128,78.42,0.94,181.0
l91917,2021745,2021584,3.2,0.94,254.31
l91918,2023036,2021584,16.7,0.94,217.06
l91919,2021584,2023081,106.76,0.94,184.32
l91920,2021701,2021585,6.53,0.94,243.9
l91921,2021586,2021589,0.0,0.99,216.6
l91922,2021616,2021586,4.06,0.94,231.47
l91923,2021586,2023021,22.51,0.94,208.65
l91924,2021587,2021589,0.0,0.99,108.3
l91925,2021588,2021589,0.0,0.99,108.3
l91926,2021590,2021591,0.0,0.94,0.0
l91927,2021591,2021592,4.57,0.94,146.24
l91928,2021591,2021601,25.5,0.94,253.02
l91929,2021591,2023022,7.85,0.94,240.68
l91930,2021591,2023058,20.2,0.94,180.41
l91931,2021591,2023074,25.3,0.94,190.78
l91932,2021592,2023031,9.01,0.94,206.41
l91933,2021594,2021593,0.0,0.99,1892.25
l91934,2021593,2021596,0.0,0.99,1484.81
l91935,2021593,2021597,0.0,0.99,1483.46
l91936,2021593,2021598,0.0,0.99,1483.42
l91937,2021593,2021599,0.0,0.99,1482.21
l91938,2021593,2021641,11.57,0.99,4059.75
l91939,2021727,2021593,53.45,0.99,4134.26
l91940,2023431,2021593,33.95,0.99,4146.1
l91941,2021595,2021594,0.0,0.99,447.91
l91942,2021607,2021594,6.92,0.98,1097.7
l91943,2021594,2021626,0.53,0.98,858.23
l91944,2021594,2021660,29.08,0.98,1215.56
l91945,2021742,2021594,25.48,0.98,1322.63
l91946,2021595,2021622,0.53,0.94,284.01
l91947,2021601,2021600,0.0,0.99,438.14
l91948,2021600,2021602,0.0,0.99,346.49
l91949,2021600,2021603,0.0,0.99,345.53
l91950,2021600,2021604,0.0,0.99,345.15
l91951,2021600,2021605,0.0,0.99,344.51
l91952,2021600,2021606,0.0,0.98,0.0
l91953,2021626,2021606,11.03,0.98,1052.99
l91954,2021606,2021678,3.97,0.98,1097.63
l91955,2021607,2021610,0.0,0.99,481.9
l91956,2021607,2021611,0.0,0.99,562.19
l91957,2021607,2021612,0.0,0.99,561.56
l91958,2021607,2021613,0.0,0.99,556.35
l91959,2021607,2021614,0.0,0.99,554.66
l91960,2021607,2021642,5.03,0.98,1150.58
l91961,2021649,2021607,2.93,0.98,1059.99
l91962,2021608,2021610,0.0,0.99,431.9
l91963,2021609,2021610,0.0,0.99,50.0
l91964,2021616,2021615,0.0,0.99,469.5
l91965,2021615,2021617,0.0,0.99,594.43
l91966,2021615,2021619,0.0,0.99,312.35
l91967,2021615,2021620,0.0,0.99,293.58
l91968,2021615,2021660,7.54,0.98,1137.18
l91969,2021615,2021741,42.31,0.98,1292.69
l91970,2021742,2021615,8.57,0.98,1093.86
l91971,2021616,2021618,0.0,0.99,58.41
l91972,2021622,2021621,0.0,0.99,640.0
l91973,2021621,2021623,0.0,0.99,529.78
l91974,2021621,2021624,0.0,0.99,529.37
l91975,2021621,2021625,0.0,0.99,528.87
l91976,2021621,2021626,0.0,0.98,0.0
l91977,2021628,2021627,0.0,0.99,555.85
l91978,2021627,2021629,0.0,0.98,0.0
l91979,2021721,2021628,1.78,0.94,244.14
l91980,2021629,2021741,5.63,0.98,1182.5
l91981,2021630,2021631,0.0,0.99,95.85
l91982,2021630,2021686,5.15,0.94,212.27
l91983,2021632,2021635,0.0,0.99,590.3
l91984,2021632,2021636,0.0,0.99,298.27
l91985,2021632,2021638,0.0,0.98,0.0
l91986,2021633,2021635,0.0,0.99,465.3
l91987,2021633,2021637,0.0,0.99,62.03
l91988,2021634,2021635,0.0,0.99,125.0
l91989,2021639,2021640,0.0,0.94,0.0
l91990,2021745,2021640,0.15,0.94,172.99
l91991,2021642,2021641,0.0,0.99,1677.11
l91992,2021642,2021641,0.0,0.99,1677.11
l91993,2021642,2021641,0.0,0.99,1677.11
l91994,2021641,2021646,0.0,0.99,1788.08
l91995,2021641,2021647,0.0,0.99,1785.0
l91996,2021641,2021648,0.0,0.99,1771.43
l91997,2021642,2021645,0.0,0.99,620.8
l91998,2021642,2021649,2.1,0.98,1320.65
l91999,2021642,2021698,14.54,0.98,1280.74
l92000,2021643,2021645,0.0,0.99,470.8
l92001,2021644,2021645,0.0,0.99,150.0
l92002,2021650,2021649,0.0,0.99,442.79
l92003,2021649,2021651,0.0,0.99,538.16
l92004,2021649,2021652,0.0,0.99,536.6
l92005,2021649,2021653,0.0,0.99,536.33
l92006,2021649,2021671,44.28,0.98,1319.39
l92007,2021656,2021655,0.0,0.99,365.68
l92008,2021655,2021657,0.0,0.98,0.0
l92009,2021655,2021658,0.0,0.98,0.0
l92010,2021655,2021659,0.0,0.98,0.0
l92011,2021657,2021682,6.2,0.98,1188.73
l92012,2021661,2021660,0.0,0.99,457.04
l92013,2021660,2021662,0.0,0.99,417.93
l92014,2021660,2021663,0.0,0.99,416.6
l92015,2021660,2021700,13.09,0.98,1106.04
l92016,2021664,2021667,0.0,0.99,581.9
l92017,2021664,2021668,0.0,0.99,400.88
l92018,2021664,2021669,0.0,0.99,400.01
l92019,2021664,2021670,0.0,0.99,397.28
l92020,2021664,2021671,0.0,0.98,0.0
l92021,2021664,2021672,0.0,0.98,0.0
l92022,2021665,2021667,0.0,0.99,556.9
l92023,2021715,2021665,1.1,0.94,229.68
l92024,2021666,2021667,0.0,0.99,25.0
l92025,2021673,2021674,0.0,0.94,0.0
l92026,2021677,2021676,0.0,0.99,408.19
l92027,2021676,2021678,0.0,0.98,0.0
l92028,2021678,2021682,5.13,0.98,1156.28
l92029,2021680,2021679,0.0,0.99,400.13
l92030,2021679,2021681,0.0,0.99,486.02
l92031,2021679,2021682,0.0,0.98,0.0
l92032,2021679,2021683,0.0,0.98,0.0
l92033,2021692,2021680,0.21,0.94,250.6
l92034,2021684,2021688,0.0,0.99,1635.1
l92035,2021684,2021689,0.0,0.99,1493.66
l92036,2021684,2021690,0.0,0.99,1493.52
l92037,2021684,2021691,0.0,0.99,1492.74
l92038,2023374,2021684,46.36,0.99,3868.5
l92039,2021686,2021685,0.0,0.99,477.5
l92040,2021685,2021688,0.0,0.99,1642.6
l92041,2021685,2021751,30.89,0.98,1079.73
l92042,2021687,2021688,0.0,0.99,100.0
l92043,2021692,2021693,0.0,0.99,133.25
l92044,2021694,2021695,0.0,0.94,0.0
l92045,2021694,2021696,0.0,0.94,0.0
l92046,2021694,2021697,0.0,0.94,0.0
l92047,2021699,2021698,0.0,0.99,409.84
l92048,2021722,2021698,14.22,0.98,1201.52
l92049,2021701,2021700,0.0,0.99,452.41
l92050,2021700,2021702,0.0,0.99,448.66
l92051,2021700,2021703,0.0,0.99,447.11
l92052,2021700,2021704,0.0,0.99,447.01
l92053,2021701,2023024,10.78,0.94,246.23
l92054,2021705,2021708,0.0,0.99,193.3
l92055,2021705,2021711,0.0,0.99,262.6
l92056,2021705,2021714,0.0,0.99,103.0
l92057,2021705,2021715,0.0,0.94,0.0
l92058,2021706,2021708,0.0,0.99,96.7
l92059,2021707,2021708,0.0,0.99,96.7
l92060,2021709,2021711,0.0,0.99,131.3
l92061,2021710,2021711,0.0,0.99,131.3
l92062,2021712,2021714,0.0,0.99,51.5
l92063,2021713,2021714,0.0,0.99,51.5
l92064,2021717,2021718,0.0,0.99,103.78
l92065,2021717,2021719,0.0,0.99,66.02
l92066,2021720,2021721,0.0,0.94,0.0
l92067,2021722,2021725,0.0,0.99,462.1
l92068,2021722,2021726,0.0,0.99,573.58
l92069,2021722,2021753,19.97,0.98,1282.84
l92070,2021723,2021725,0.0,0.99,437.1
l92071,2021724,2021725,0.0,0.99,25.0
l92072,2021728,2021727,0.0,0.99,1617.48
l92073,2021728,2021727,0.0,0.99,1617.48
l92074,2021728,2021727,0.0,0.99,1617.48
l92075,2021727,2021730,0.0,0.99,1531.26
l92076,2021727,2021731,0.0,0.99,1529.53
l92077,2021727,2021732,0.0,0.99,1525.86
l92078,2021729,2021728,0.0,0.99,606.89
l92079,2021729,2021728,0.0,0.99,606.89
l92080,2021729,2021728,0.0,0.99,606.89
l92081,2021734,2021733,0.0,0.99,563.53
l92082,2021733,2021735,0.0,0.99,369.73
l92083,2021733,2021736,0.0,0.99,368.58
l92084,2021733,2021737,0.0,0.99,365.11
l92085,2021733,2021738,0.0,0.99,364.29
l92086,2021733,2021739,0.0,0.99,361.79
l92087,2021733,2021740,0.0,0.99,309.75
l92088,2021733,2021741,0.0,0.98,0.0
l92089,2021743,2021742,0.0,0.99,425.31
l92090,2021744,2021747,0.0,0.99,554.7
l92091,2021744,2021750,0.0,0.99,1031.0
l92092,2021744,2021751,0.0,0.98,0.0
l92093,2021744,2021752,0.0,0.98,0.0
l92094,2021745,2021747,0.0,0.99,479.7
l92095,2021745,2023034,16.88,0.94,238.18
l92096,2021746,2021747,0.0,0.99,75.0
l92097,2021748,2021750,0.0,0.99,515.5
l92098,2021749,2021750,0.0,0.99,515.5
l92099,2023358,2021751,41.48,0.98,921.72
l92100,2021754,2021753,0.0,0.99,437.2
l92101,2021755,2021756,0.0,0.99,70.5
l92102,2021755,2021757,0.0,0.99,28.81
l92103,2021759,2021760,0.0,0.99,131.69
l92104,2023000,2023001,19.85,0.94,223.17
l92105,2023000,2023004,18.72,0.94,226.31
l92106,2023001,2023002,5.48,0.94,189.91
l92107,2023002,2023003,4.51,0.94,206.66
l92108,2023003,2023017,17.51,0.94,252.74
l92109,2023004,2023017,5.26,0.94,250.39
l92110,2023005,2023006,0.0,0.94,0.0
l92111,2023005,2023007,0.0,0.94,0.0
l92112,2023011,2023006,10.1,0.94,239.84
l92113,2023376,2023006,6.31,0.94,270.86
l92114,2023010,2023008,6.21,0.94,180.49
l92115,2023376,2023010,14.19,0.94,222.63
l92116,2023013,2023011,6.64,0.94,238.4
l92117,2023011,2023014,5.86,0.94,239.64
l92118,2023039,2023012,17.56,0.94,170.83
l92119,2023018,2023013,9.08,0.94,178.61
l92120,2023014,2023017,3.5,0.94,282.21
l92121,2023018,2023015,5.65,0.94,241.53
l92122,2023015,2023376,28.69,0.94,262.61
l92123,2023017,2023016,0.0,0.99,583.19
l92124,2023016,2023375,16.27,0.98,1279.58
l92125,2023017,2023376,16.27,0.94,377.92
l92126,2023019,2023020,0.0,0.94,0.0
l92127,2023021,2023019,5.6,0.94,190.63
l92128,2023024,2023019,4.28,0.94,236.65
l92129,2023021,2023054,10.49,0.94,179.69
l92130,2023022,2023023,13.53,0.94,237.39
l92131,2023040,2023023,8.29,0.94,227.95
l92132,2023025,2023026,0.0,0.94,0.0
l92133,2023039,2023026,18.88,0.94,195.57
l92134,2023026,2023330,21.1,0.94,226.87
l92135,2023027,2023030,0.0,0.99,102.9
l92136,2023027,2023031,0.0,0.94,0.0
l92137,2023028,2023030,0.0,0.99,51.4
l92138,2023029,2023030,0.0,0.99,51.4
l92139,2023433,2023031,3.89,0.94,241.67
l92140,2023032,2023033,0.0,0.94,0.0
l92141,2023032,2023041,4.09,0.94,244.04
l92142,2023032,2023042,7.68,0.94,189.17
l92143,2023034,2023035,0.0,0.94,0.0
l92144,2023036,2023034,2.76,0.94,210.48
l92145,2023037,2023038,0.0,0.94,0.0
l92146,2023037,2023039,15.96,0.94,213.2
l92147,2023286,2023037,62.59,0.94,234.43
l92148,2023040,2023067,18.79,0.94,208.87
l92149,2023041,2023271,8.4,0.94,274.08
l92150,2023042,2023059,4.93,0.94,221.01
l92151,2023043,2023044,5.24,0.94,229.75
l92152,2023043,2023067,22.82,0.94,212.09
l92153,2023044,2023045,0.0,0.94,0.0
l92154,2023044,2023053,9.06,0.94,252.47
l92155,2023046,2023047,0.0,0.94,0.0
l92156,2023056,2023046,4.39,0.94,222.77
l92157,2023046,2023086,14.68,0.94,230.32
l92158,2023046,2023402,6.01,0.94,205.31
l92159,2023048,2023051,0.0,0.99,319.8
l92160,2023067,2023048,10.4,0.94,223.15
l92161,2023048,2023071,6.55,0.94,230.09
l92162,2023048,2023390,8.3,0.94,313.81
l92163,2023049,2023051,0.0,0.99,159.9
l92164,2023050,2023051,0.0,0.99,159.9
l92165,2023052,2023053,0.0,0.94,0.0
l92166,2023053,2023058,23.36,0.94,238.82
l92167,2023390,2023053,4.25,0.94,237.04
l92168,2023054,2023056,3.6,0.94,221.41
l92169,2023055,2023056,0.0,0.94,0.0
l92170,2023055,2023057,0.0,0.94,0.0
l92171,2023056,2023100,19.23,0.94,213.39
l92172,2023059,2023063,27.26,0.94,208.32
l92173,2023059,2023433,13.21,0.94,272.08
l92174,2023060,2023078,17.68,0.94,147.29
l92175,2023083,2023060,21.46,0.94,212.84
l92176,2023069,2023061,18.74,0.94,191.14
l92177,2023062,2023063,0.0,0.94,0.0
l92178,2023062,2023064,0.0,0.94,0.0
l92179,2023063,2023402,8.99,0.94,205.38
l92180,2023065,2023066,0.0,0.94,0.0
l92181,2023065,2023067,0.0,0.94,0.0
l92182,2023088,2023067,10.74,0.94,186.28
l92183,2023068,2023069,0.0,0.94,0.0
l92184,2023355,2023069,19.39,0.94,217.55
l92185,2023070,2023071,0.0,0.94,0.0
l92186,2023072,2023073,0.0,0.94,0.0
l92187,2023109,2023072,19.15,0.94,202.02
l92188,2023075,2023089,8.32,0.94,210.2
l92189,2023474,2023075,3.81,0.94,231.68
l92190,2023076,2023077,0.0,0.94,0.0
l92191,2023076,2023091,7.08,0.94,234.49
l92192,2023076,2023100,7.75,0.94,227.6
l92193,2023076,2023310,5.89,0.94,229.63
l92194,2023078,2023310,3.24,0.94,215.59
l92195,2023079,2023080,0.0,0.94,0.0
l92196,2023079,2023089,2.81,0.94,209.2
l92197,2023349,2023079,4.81,0.94,248.24
l92198,2023081,2023082,0.0,0.94,0.0
